"g","home.team","away.team","h.g","a.g","Yg1","Yg2"
"203","Venezia","Milan","20","11","0","3"
"204","Udinese","Atalanta","19","1","2","6"
"205","Hellas Verona","Salernitana","7","14","1","2"
"206","Inter","Lazio","8","10","2","1"
"207","Napoli","Sampdoria","12","15","1","0"
"208","Cagliari","Bologna","3","2","2","1"
"209","Roma","Juventus","13","9","3","4"
"210","Genoa","Spezia","6","17","0","1"
"211","Juventus","Udinese","9","19","2","0"
"212","Fiorentina","Genoa","5","6","6","0"
"213","Sampdoria","Torino","15","18","1","2"
"214","Venezia","Empoli","20","4","1","1"
"215","Roma","Cagliari","13","3","1","0"
"216","Atalanta","Inter","1","8","0","0"
"217","Sassuolo","Hellas Verona","16","7","2","4"
"218","Bologna","Napoli","2","12","0","2"
"219","Salernitana","Lazio","14","10","0","3"
"220","Milan","Spezia","11","17","1","2"
"221","Napoli","Salernitana","12","14","4","1"
"222","Lazio","Atalanta","10","1","0","0"
"223","Torino","Sassuolo","18","16","1","1"
"224","Cagliari","Fiorentina","3","5","1","1"
"225","Milan","Juventus","11","9","0","0"
"226","Empoli","Roma","4","13","2","4"
"227","Spezia","Sampdoria","17","15","1","0"
"228","Genoa","Udinese","6","19","0","0"
"229","Inter","Venezia","8","20","2","1"
"230","Hellas Verona","Bologna","7","2","2","1"
"231","Bologna","Empoli","2","4","0","0"
"232","Fiorentina","Lazio","5","10","0","3"
"233","Juventus","Hellas Verona","9","7","2","0"
"234","Atalanta","Cagliari","1","3","1","2"
"235","Udinese","Torino","19","18","2","0"
"236","Inter","Milan","8","11","1","2"
"237","Venezia","Napoli","20","12","0","2"
"238","Sampdoria","Sassuolo","15","16","4","0"
"239","Roma","Genoa","13","6","0","0"
"240","Salernitana","Spezia","14","17","2","2"
"241","Spezia","Fiorentina","17","5","1","2"
"242","Milan","Sampdoria","11","15","1","0"
"243","Hellas Verona","Udinese","7","19","4","0"
"244","Napoli","Inter","12","8","1","1"
"245","Lazio","Bologna","10","2","3","0"
"246","Empoli","Cagliari","4","3","1","1"
"247","Atalanta","Juventus","1","9","1","1"
"248","Genoa","Salernitana","6","14","1","1"
"249","Sassuolo","Roma","16","13","2","2"
"250","Torino","Venezia","18","20","1","2"
"251","Juventus","Torino","9","18","1","1"
"252","Udinese","Lazio","19","10","1","1"
"253","Inter","Sassuolo","8","16","0","2"
"254","Fiorentina","Atalanta","5","1","1","0"
"255","Sampdoria","Empoli","15","4","2","0"
"256","Venezia","Genoa","20","6","1","1"
"257","Salernitana","Milan","14","11","2","2"
"258","Cagliari","Napoli","3","12","1","1"
"259","Bologna","Spezia","2","17","2","1"
"260","Roma","Hellas Verona","13","7","2","2"
"261","Sassuolo","Fiorentina","16","5","2","1"
"262","Atalanta","Sampdoria","1","15","4","0"
"263","Salernitana","Bologna","14","2","1","1"
"264","Hellas Verona","Venezia","7","20","3","1"
"265","Genoa","Inter","6","8","0","0"
"266","Empoli","Juventus","4","9","2","3"
"267","Spezia","Roma","17","13","0","1"
"268","Milan","Udinese","11","19","1","1"
"269","Lazio","Napoli","10","12","1","2"
"270","Torino","Cagliari","18","3","1","2"
"271","Fiorentina","Hellas Verona","5","7","1","1"
"272","Bologna","Torino","2","18","0","0"
"273","Juventus","Spezia","9","17","1","0"
"274","Inter","Salernitana","8","14","5","0"
"275","Roma","Atalanta","13","1","1","0"
"276","Venezia","Sassuolo","20","16","1","4"
"277","Cagliari","Lazio","3","10","0","3"
"278","Genoa","Empoli","6","4","0","0"
